Timestamp(ms),Current(uA),D0-D7
21040,237918.328,11111111
21041,262755.531,11111111
21042,244955.734,11111111
21043,216608.922,11111111
21044,207056.969,11111111
21045,208391.625,11111111
21046,205963.406,11111111
21047,202362.641,11111111
21048,201159.016,11111111
21049,208989.859,11111111
21050,205301.453,11111111
21051,207631.828,11111111
21052,205804.688,11111111
21053,203523.297,11111111
21054,205490.203,11111111
21055,208020.813,11111111
21056,215160.813,11111111
21057,215995.563,11111111
21058,219205.234,11111111
21059,223485.984,11111111
21060,221617.906,11111111
21061,227402.313,11111111
21062,226356.422,11111111
21063,222394.813,11111111
21064,218501.563,11111111
21065,218025.313,11111111
21066,215529.781,11111111
21067,212212.547,11111111
21068,206220.000,11111111
21069,210575.984,11111111
21070,206082.563,11111111
21071,215215.875,11111111
21072,217356.422,11111111
21073,218377.484,11111111
21074,219568.719,11111111
21075,225076.156,11111111
21076,225145.641,11111111
21077,230430.688,11111111
21078,232277.094,11111111
21079,225686.938,11111111
21080,248230.703,11111111
21081,270118.375,11111111
21082,248749.625,11111111
21083,221371.563,11111111
21084,211939.453,11111111
21085,210463.438,11111111
21086,205812.531,11111111
21087,201821.547,11111111
21088,199796.859,11111111
21089,207396.656,11111111
21090,206527.625,11111111
21091,208818.359,11111111
21092,206123.875,11111111
21093,202557.094,11111111
21094,205227.063,11111111
21095,208268.203,11111111
21096,215130.188,11111111
21097,216551.141,11111111
21098,220605.828,11111111
21099,226117.297,11111111
21100,222883.813,11111111
21101,225823.938,11111111
21102,224814.500,11111111
21103,221515.766,11111111
21104,215449.297,11111111
21105,216268.953,11111111
21106,215050.516,11111111
21107,213099.250,11111111
21108,209221.703,11111111
21109,212355.391,11111111
21110,207046.656,11111111
21111,205800.563,11111111
21112,202984.969,11111111
21113,201712.406,11111111
21114,202489.406,11111111
21115,207459.766,11111111
21116,207099.891,11111111
21117,209716.516,11111111
21118,209842.469,11111111
21119,211354.063,11111111
21120,237849.422,11111111
21121,263152.906,11111111
21122,245873.516,11111111
21123,217928.938,11111111
21124,208422.484,11111111
21125,209565.094,11111111
21126,206171.156,11111111
21127,202264.328,11111111
21128,199823.813,11111111
21129,207445.672,11111111
21130,205280.422,11111111
21131,209073.984,11111111
21132,206398.531,11111111
21133,202844.469,11111111
21134,204617.813,11111111
21135,207907.719,11111111
21136,215363.594,11111111
21137,215969.047,11111111
21138,218375.375,11111111
21139,222697.109,11111111
21140,221617.328,11111111
21141,225636.625,11111111
21142,225471.859,11111111
21143,222111.594,11111111
21144,215057.563,11111111
21145,215921.469,11111111
21146,214751.656,11111111
21147,210969.172,11111111
21148,207070.156,11111111
21149,210452.422,11111111
21150,205844.094,11111111
21151,214610.031,11111111
21152,216546.563,11111111
21153,217666.328,11111111
21154,219424.891,11111111
21155,225094.484,11111111
21156,226335.016,11111111
21157,230343.125,11111111
21158,232925.344,11111111
21159,225564.375,11111111
21160,248445.438,11111111
21161,272542.781,11111111
21162,250339.453,11111111
21163,222607.531,11111111
21164,212377.469,11111111
21165,210590.609,11111111
21166,205531.016,11111111
21167,201925.656,11111111
21168,199666.047,11111111
21169,207732.094,11111111
21170,206555.016,11111111
21171,208763.422,11111111
21172,206057.125,11111111
21173,202613.969,11111111
21174,204744.641,11111111
21175,208692.797,11111111
21176,215618.250,11111111
21177,216251.531,11111111
21178,218597.797,11111111
21179,223359.234,11111111
21180,221499.094,11111111
21181,225526.844,11111111
21182,224646.609,11111111
21183,221370.984,11111111
21184,215499.813,11111111
21185,216377.281,11111111
21186,215037.156,11111111
21187,213199.797,11111111
21188,209454.516,11111111
21189,212106.234,11111111
21190,207065.875,11111111
21191,206377.531,11111111
21192,203122.375,11111111
21193,200454.391,11111111
21194,200828.891,11111111
21195,206567.359,11111111
21196,207034.516,11111111
21197,212160.906,11111111
21198,214856.313,11111111
21199,215284.922,11111111
21200,239892.047,11111111
21201,265630.594,11111111
21202,249333.703,11111111
21203,219439.688,11111111
21204,208787.406,11111111
21205,208860.031,11111111
21206,205718.906,11111111
21207,201446.266,11111111
21208,199473.922,11111111
21209,206681.313,11111111
21210,203567.219,11111111
21211,206938.844,11111111
21212,205249.484,11111111
21213,203105.078,11111111
21214,204657.547,11111111
21215,207164.906,11111111
21216,214478.031,11111111
21217,215612.578,11111111
21218,218711.125,11111111
21219,223219.094,11111111
21220,221506.172,11111111
21221,225327.078,11111111
21222,224947.547,11111111
21223,221778.500,11111111
21224,215580.172,11111111
21225,217008.000,11111111
21226,215055.922,11111111
21227,212955.266,11111111
21228,206782.938,11111111
21229,210180.891,11111111
21230,204922.359,11111111
21231,214174.125,11111111
21232,216247.875,11111111
21233,217231.016,11111111
21234,218944.516,11111111
21235,225078.516,11111111
21236,226762.359,11111111
21237,230777.984,11111111
21238,232432.719,11111111
21239,233661.828,11111111
21240,261755.641,11111111
21241,276718.594,11111111
21242,251899.969,11111111
21243,223550.766,11111111
21244,213407.156,11111111
21245,211438.656,11111111
21246,206394.813,11111111
21247,201640.063,11111111
21248,200714.563,11111111
21249,209163.438,11111111
21250,207715.250,11111111
21251,209956.719,11111111
21252,206527.344,11111111
21253,202687.031,11111111
21254,204553.125,11111111
21255,207674.516,11111111
21256,214681.266,11111111
21257,215615.203,11111111
21258,218581.266,11111111
21259,222857.531,11111111
21260,220990.453,11111111
21261,226310.531,11111111
21262,224924.531,11111111
21263,220938.125,11111111
21264,214525.969,11111111
21265,215666.672,11111111
21266,214934.141,11111111
21267,212665.844,11111111
21268,209430.063,11111111
21269,213595.828,11111111
21270,207944.750,11111111
21271,206211.344,11111111
21272,202481.594,11111111
21273,199669.281,11111111
21274,200831.828,11111111
21275,207267.672,11111111
21276,206598.000,11111111
21277,210895.359,11111111
21278,212615.406,11111111
21279,213450.000,11111111
21280,238976.141,11111111
21281,264062.469,11111111
21282,246147.266,11111111
21283,217690.234,11111111
21284,209313.500,11111111
21285,210892.813,11111111
21286,207337.766,11111111
21287,203024.891,11111111
21288,200349.234,11111111
21289,206865.500,11111111
21290,204174.469,11111111
21291,207530.953,11111111
21292,205678.578,11111111
21293,202557.359,11111111
21294,203842.453,11111111
21295,207370.250,11111111
21296,215087.594,11111111
21297,215905.672,11111111
21298,219889.844,11111111
21299,225229.703,11111111
21300,222740.578,11111111
21301,226337.359,11111111
21302,225549.828,11111111
21303,222568.156,11111111
21304,215779.031,11111111
21305,216418.641,11111111
21306,215278.625,11111111
21307,213147.766,11111111
21308,206922.922,11111111
21309,208843.141,11111111
21310,204514.984,11111111
21311,217770.047,11111111
21312,219744.766,11111111
21313,221811.031,11111111
21314,221641.250,11111111
21315,225630.078,11111111
21316,227103.750,11111111
21317,230299.297,11111111
21318,232811.266,11111111
21319,226666.969,11111111
21320,249257.500,11111111
21321,272809.000,11111111
21322,250609.922,11111111
21323,223022.063,11111111
21324,212443.797,11111111
21325,211034.578,11111111
21326,206434.766,11111111
21327,202115.609,11111111
21328,202085.281,11111111
21329,208461.594,11111111
21330,207330.578,11111111
21331,209582.688,11111111
21332,206402.609,11111111
21333,202758.250,11111111
21334,204654.844,11111111
21335,209066.734,11111111
21336,216403.875,11111111
21337,216914.391,11111111
21338,219355.734,11111111
21339,223562.922,11111111
21340,221785.547,11111111
21341,225967.000,11111111
21342,225159.984,11111111
21343,221821.641,11111111
21344,215144.469,11111111
21345,217288.047,11111111
21346,217676.172,11111111
21347,214626.563,11111111
21348,211491.281,11111111
21349,214661.125,11111111
21350,207978.719,11111111
21351,206460.969,11111111
21352,202799.594,11111111
21353,199895.047,11111111
21354,200910.625,11111111
21355,206561.391,11111111
21356,207083.969,11111111
21357,209502.719,11111111
21358,210022.016,11111111
21359,211286.531,11111111
21360,237941.719,11111111
21361,266311.031,11111111
21362,247608.594,11111111
21363,218250.281,11111111
21364,208555.469,11111111
21365,208840.203,11111111
21366,206045.219,11111111
21367,201796.938,11111111
21368,199459.484,11111111
21369,207910.438,11111111
21370,204285.125,11111111
21371,207289.313,11111111
21372,205251.031,11111111
21373,202254.234,11111111
21374,203911.531,11111111
21375,207613.813,11111111
21376,214526.688,11111111
21377,215462.484,11111111
21378,218777.766,11111111
21379,223268.422,11111111
21380,221133.078,11111111
21381,225386.641,11111111
21382,225332.984,11111111
21383,221506.750,11111111
21384,215056.078,11111111
21385,216200.703,11111111
21386,215192.938,11111111
21387,212708.203,11111111
21388,206541.016,11111111
21389,208541.063,11111111
21390,204479.203,11111111
21391,214217.063,11111111
21392,216247.078,11111111
21393,217392.281,11111111
21394,219447.656,11111111
21395,224470.094,11111111
21396,225844.625,11111111
21397,228490.953,11111111
21398,230740.922,11111111
21399,226049.828,11111111
21400,248311.844,11111111
21401,268591.375,11111111
21402,248468.891,11111111
21403,221979.516,11111111
21404,212322.859,11111111
21405,209971.250,11111111
21406,205407.641,11111111
21407,201386.953,11111111
21408,199210.656,11111111
21409,206508.828,11111111
21410,205387.094,11111111
21411,207988.734,11111111
21412,205014.141,11111111
21413,202930.000,11111111
21414,204284.156,11111111
21415,206870.938,11111111
21416,214485.766,11111111
21417,215689.844,11111111
21418,217143.719,11111111
21419,220250.500,11111111
21420,218843.313,11111111
21421,222940.531,11111111
21422,221062.641,11111111
21423,217934.781,11111111
21424,212769.000,11111111
21425,214267.406,11111111
21426,213051.906,11111111
21427,209514.000,11111111
21428,206303.531,11111111
21429,211239.047,11111111
21430,206074.297,11111111
21431,205591.188,11111111
21432,202399.688,11111111
21433,200065.063,11111111
21434,200612.000,11111111
21435,206079.516,11111111
21436,206622.969,11111111
21437,210299.203,11111111
21438,213153.016,11111111
21439,214229.250,11111111
21440,239415.391,11111111
21441,264403.656,11111111
21442,246518.375,11111111
21443,217809.172,11111111
21444,209054.219,11111111
21445,209971.016,11111111
21446,206829.766,11111111
21447,202697.875,11111111
21448,201474.453,11111111
21449,208923.516,11111111
21450,205209.109,11111111
21451,207365.500,11111111
21452,204864.156,11111111
21453,201949.281,11111111
21454,202652.516,11111111
21455,206166.188,11111111
21456,214325.391,11111111
21457,215651.219,11111111
21458,217713.438,11111111
21459,220313.328,11111111
21460,218711.719,11111111
21461,225453.797,11111111
21462,223802.156,11111111
21463,220201.141,11111111
21464,214900.688,11111111
21465,214456.094,11111111
21466,213158.000,11111111
21467,209562.469,11111111
21468,203368.656,11111111
21469,207341.516,11111111
21470,204221.938,11111111
21471,214131.813,11111111
21472,216508.344,11111111
21473,218045.781,11111111
21474,219473.688,11111111
21475,225568.328,11111111
21476,226882.797,11111111
21477,230559.766,11111111
21478,232396.891,11111111
21479,225761.313,11111111
21480,248164.703,11111111
21481,270670.563,11111111
21482,248958.109,11111111
21483,222403.391,11111111
21484,211911.953,11111111
21485,210354.766,11111111
21486,206077.563,11111111
21487,202100.031,11111111
21488,200064.672,11111111
21489,206822.563,11111111
21490,206062.734,11111111
21491,208245.484,11111111
21492,205456.031,11111111
21493,202711.563,11111111
21494,203872.344,11111111
21495,206854.531,11111111
21496,214764.141,11111111
21497,215925.328,11111111
21498,218921.609,11111111
21499,222744.797,11111111
21500,220140.813,11111111
21501,223776.547,11111111
21502,222583.547,11111111
21503,219248.953,11111111
21504,212335.797,11111111
21505,213787.359,11111111
21506,213818.563,11111111
21507,211053.844,11111111
21508,207147.391,11111111
21509,210644.344,11111111
21510,206371.328,11111111
21511,205775.000,11111111
21512,202626.328,11111111
21513,201452.422,11111111
21514,201460.234,11111111
21515,206534.031,11111111
21516,206636.594,11111111
21517,210664.250,11111111
21518,212424.531,11111111
21519,212767.578,11111111
21520,238956.906,11111111
21521,263644.813,11111111
21522,245920.859,11111111
21523,217864.563,11111111
21524,207678.203,11111111
21525,208937.453,11111111
21526,205772.063,11111111
21527,202329.328,11111111
21528,199895.578,11111111
21529,207191.219,11111111
21530,203673.969,11111111
21531,206539.578,11111111
21532,204137.203,11111111
21533,201532.938,11111111
21534,202169.125,11111111
21535,205477.375,11111111
21536,214024.391,11111111
21537,216200.375,11111111
21538,218436.813,11111111
21539,220914.266,11111111
21540,218673.203,11111111
21541,222785.703,11111111
21542,222458.016,11111111
21543,219326.547,11111111
21544,213200.922,11111111
21545,213612.266,11111111
21546,212362.797,11111111
21547,208770.844,11111111
21548,204130.438,11111111
21549,209049.250,11111111
21550,205062.141,11111111
21551,217563.234,11111111
21552,221590.156,11111111
21553,221835.359,11111111
21554,222281.063,11111111
21555,225797.250,11111111
21556,228025.406,11111111
21557,231200.281,11111111
21558,231672.375,11111111
21559,224836.578,11111111
21560,247660.547,11111111
21561,270638.875,11111111
21562,249338.453,11111111
21563,222511.859,11111111
21564,212033.422,11111111
21565,210199.516,11111111
21566,205708.000,11111111
21567,201534.984,11111111
21568,199513.094,11111111
21569,207872.984,11111111
21570,207116.781,11111111
21571,209173.906,11111111
21572,205822.813,11111111
21573,202311.266,11111111
21574,204196.531,11111111
21575,208171.453,11111111
21576,215361.516,11111111
21577,215786.438,11111111
21578,218265.313,11111111
21579,223028.109,11111111
21580,220915.031,11111111
21581,224828.125,11111111
21582,223893.438,11111111
21583,220893.594,11111111
21584,214209.609,11111111
21585,215433.625,11111111
21586,214486.844,11111111
21587,213007.484,11111111
21588,209357.219,11111111
21589,213772.203,11111111
21590,207339.203,11111111
21591,206192.219,11111111
21592,203057.375,11111111
21593,200422.906,11111111
21594,200615.250,11111111
21595,205911.500,11111111
21596,206083.953,11111111
21597,208223.969,11111111
21598,209946.891,11111111
21599,211416.969,11111111
21600,237492.078,11111111
21601,262671.219,11111111
21602,245124.594,11111111
21603,216810.813,11111111
21604,207098.750,11111111
21605,208216.484,11111111
21606,206126.719,11111111
21607,202260.703,11111111
21608,200082.406,11111111
21609,206299.953,11111111
21610,203398.531,11111111
21611,206845.109,11111111
