Timestamp(ms),Current(uA),D0-D7
769,50445.891,11111111
770,50505.297,11111111
771,50575.016,11111111
772,50432.379,11111111
773,50393.613,11111111
774,50488.039,11111111
775,50549.176,11111111
776,50604.426,11111111
777,50642.934,11111111
778,50361.813,11111111
779,50365.797,11111111
780,50478.406,11111111
781,50450.484,11111111
782,50539.156,11111111
783,50343.195,11111111
784,50227.613,11111111
785,50361.680,11111111
786,50241.867,11111111
787,50387.531,11111111
788,50535.855,11111111
789,50607.621,11111111
790,50552.840,11111111
791,50443.367,11111111
792,50411.285,11111111
793,50455.648,11111111
794,50328.141,11111111
795,50218.402,11111111
796,50354.000,11111111
797,50362.344,11111111
798,49853.227,11111111
799,49324.352,11111111
800,49355.516,11111111
801,49131.004,11111111
802,49225.965,11111111
803,49188.781,11111111
804,49272.828,11111111
805,49377.527,11111111
806,49230.113,11111111
807,49231.250,11111111
808,49184.508,11111111
809,49099.152,11111111
810,49142.855,11111111
811,49249.586,11111111
812,51079.242,11111111
813,52450.789,11111111
814,52268.324,11111111
815,52085.109,11111111
816,52253.223,11111111
817,52090.637,11111111
818,52197.000,11111111
819,52014.340,11111111
820,52982.121,11111111
821,68673.750,11111111
822,74618.945,11111111
823,74034.242,11111111
824,71107.031,11111111
825,74314.688,11111111
826,75369.594,11111111
827,75987.000,11111111
828,75381.484,11111111
829,75770.594,11111111
830,75568.086,11111111
831,76746.898,11111111
832,76387.469,11111111
833,75760.430,11111111
834,75959.727,11111111
835,76123.047,11111111
836,76166.344,11111111
837,76304.258,11111111
838,76176.203,11111111
839,76055.203,11111111
840,76088.305,11111111
841,76160.961,11111111
842,76153.227,11111111
843,75636.625,11111111
844,76105.930,11111111
845,75982.891,11111111
846,76139.734,11111111
847,76179.023,11111111
848,72264.875,11111111
849,57740.672,11111111
850,51106.324,11111111
851,48529.516,11111111
852,47745.070,11111111
853,47542.039,11111111
854,47529.848,11111111
855,47256.500,11111111
856,47329.730,11111111
857,47202.488,11111111
858,50780.223,11111111
859,48584.301,11111111
860,47909.320,11111111
861,47544.363,11111111
862,47309.219,11111111
863,47230.980,11111111
864,47185.520,11111111
865,47148.770,11111111
866,47105.793,11111111
867,46963.152,11111111
868,50382.434,11111111
869,66183.008,11111111
870,72727.469,11111111
871,75429.578,11111111
872,76338.813,11111111
873,76376.695,11111111
874,76727.656,11111111
875,76785.508,11111111
876,77091.398,11111111
877,77126.211,11111111
878,76728.000,11111111
879,77243.906,11111111
880,76969.195,11111111
881,77352.672,11111111
882,77116.766,11111111
883,76744.188,11111111
884,77210.688,11111111
885,76982.422,11111111
886,76776.047,11111111
887,77163.406,11111111
888,76855.125,11111111
889,76954.875,11111111
890,76777.359,11111111
891,76906.625,11111111
892,76871.805,11111111
893,76452.938,11111111
894,76652.023,11111111
895,76622.531,11111111
896,76900.227,11111111
897,76990.680,11111111
898,76857.633,11111111
899,77129.766,11111111
900,76815.711,11111111
901,77158.773,11111111
902,76962.969,11111111
903,76846.969,11111111
904,76968.039,11111111
905,76702.570,11111111
906,76817.461,11111111
907,76606.086,11111111
908,77113.141,11111111
909,77077.813,11111111
910,76815.906,11111111
911,76810.219,11111111
912,76580.039,11111111
913,76956.820,11111111
914,76727.117,11111111
915,76440.406,11111111
916,76512.477,11111111
917,76316.852,11111111
918,76811.477,11111111
919,76587.727,11111111
920,76413.586,11111111
921,76630.688,11111111
922,76454.477,11111111
923,76787.039,11111111
924,76736.797,11111111
925,76517.578,11111111
926,76844.273,11111111
927,76804.500,11111111
928,76101.570,11111111
929,76619.977,11111111
930,76392.055,11111111
931,77038.734,11111111
932,76866.359,11111111
933,76532.070,11111111
934,76824.453,11111111
935,76622.977,11111111
936,76444.172,11111111
937,76988.406,11111111
938,76750.297,11111111
939,76464.195,11111111
940,76905.266,11111111
941,76836.031,11111111
942,76471.633,11111111
943,76827.523,11111111
944,76778.586,11111111
945,76576.078,11111111
946,77039.219,11111111
947,76926.656,11111111
948,76559.320,11111111
949,77033.336,11111111
950,76814.234,11111111
951,76507.172,11111111
952,76827.305,11111111
953,76779.641,11111111
954,76705.195,11111111
955,77081.531,11111111
956,76883.078,11111111
957,76698.445,11111111
958,77099.188,11111111
959,76865.578,11111111
960,76687.469,11111111
961,76855.398,11111111
962,76668.031,11111111
963,76560.125,11111111
964,77031.891,11111111
965,76795.609,11111111
966,76514.320,11111111
967,76956.227,11111111
968,76838.688,11111111
969,76733.945,11111111
970,77069.484,11111111
971,74321.734,11111111
972,75695.000,11111111
973,76469.570,11111111
974,76406.102,11111111
975,67924.609,11111111
976,63314.395,11111111
977,59589.480,11111111
978,58981.422,11111111
979,58050.180,11111111
980,57905.602,11111111
981,57644.555,11111111
982,57499.797,11111111
983,59577.457,11111111
984,63908.492,11111111
985,58752.219,11111111
986,55218.793,11111111
987,67171.656,11111111
988,76567.219,11111111
989,80012.664,11111111
990,81592.281,11111111
991,82095.781,11111111
